test_id,test_strain,type,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,flavor_1,flavor_2,flavor_3,flavor_4
189939,Belladonna,Hybrid,Happy,Sleepy,Giggly,Euphoric,Uplifted,,,,,,,,,,,,
6941,Wild Thailand,Hybrid,Horny, Euphoric, Talkative, Creative, Energetic, Dry Mouth, Anxious,,Depression, Pain, Stress,,,Sweet, Berry,,
116229,Hulkamania,Indica,Horny, Tingly, Uplifted, Euphoric, Happy,,,,Depression, Inflammation, Insomnia, Lack of Appetite,,Sweet, Berry,,
125348,Bangi Haze,Hybrid,Horny, Uplifted, Euphoric, Hungry,,,,,Inflammation, Stress,,,,Berry,,,
25768,White Berry,Hybrid,Horny, Euphoric, Happy, Creative, Focused, Paranoid, Anxious, Dry Mouth,Insomnia, Stress, Depression, Pain,,Berry, Sweet, Earthy,
177591,Golden Tangie,Sativa,Horny, Energetic, Focused, Happy,,,,,,,,,,,,,
162165,Anesthesia,Indica,Hungry, Sleepy, Happy, Euphoric, Creative, Paranoid, Anxious,,Pain, Stress, Insomnia, Lack of Appetite,,Earthy,,,
6639,Gigabud,Hybrid,Hungry, Relaxed, Sleepy, Happy, Focused, Dry Mouth, Anxious,,Pain, Stress, Lack of Appetite, Insomnia, Nausea,Sweet, Pine,,
55650,Grape OX,Hybrid,Hungry, Sleepy, Relaxed, Tingly, Uplifted, Dry Mouth, Paranoid,,Stress, Depression, Insomnia, Pain,,Grape, Sweet,,
72243,Brazil Amazonia,Hybrid,Relaxed, Uplifted, Euphoric, Focused, Happy,,,,Depression, Stress,,,,Berry, Earthy,,
97294,Blackberry Cream,Hybrid,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth,,,Depression, Stress, Insomnia, Muscle Spasms, Pain,Berry, Sweet,,
6875,Nuken,Hybrid,Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,,Depression, Lack of Appetite, Pain,,,Citrus, Earthy,,
2748,Oregon Diesel,Hybrid,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious,Depression, Stress, Insomnia, Pain,,Earthy,,,
2764,Critical Kush,Indica,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Depression, Stress, Pain, Lack of Appetite, Insomnia,Earthy,,,
6439,Violator Kush,Indica,Relaxed, Sleepy, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Depression, Stress, Insomnia, Pain,,Earthy,,,
48108,Cascadia Kush,Indica,Relaxed, Euphoric, Tingly, Sleepy, Happy, Dry Mouth,,,Depression, Pain, Stress, Insomnia,,Earthy, Sweet,,
56060,Triangle Kush,Indica,Relaxed, Euphoric, Uplifted, Happy, Sleepy, Dry Mouth, Paranoid,,Depression, Pain, Stress, Insomnia,,Earthy, Skunk,,
107930,8 Ball Kush,Indica,Relaxed, Happy, Hungry, Creative, Euphoric, Dry Mouth, Paranoid,,Depression, Pain, Insomnia, Inflammation,,Earthy, Pine,,
182898,El Jefe,Hybrid,Relaxed, Euphoric, Tingly, Happy, Creative, Dry Mouth, Paranoid,,Depression, Stress, Pain, Insomnia,,Earthy, Pine,,
197526,Rainbow Jones,Indica,Relaxed, Euphoric, Focused, Talkative, Uplifted,,,,Depression, Stress, Inflammation, Lack of Appetite,,Earthy, Sweet,,
46225,Ortega,Hybrid,Relaxed, Uplifted, Euphoric, Sleepy, Dry Mouth,,,,Depression, Pain,,,,Pepper, Earthy,,
127591,Pineapple Haze,Hybrid,Relaxed, Euphoric, Happy, Uplifted, Focused, Dry Mouth, Paranoid,,Depression, Stress, Lack of Appetite,,,Pineapple, Citrus,,
87070,Strawberry Cheesecake,Hybrid,Relaxed, Uplifted, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Depression, Pain, Lack of Appetite, Stress,,Strawberry, Sweet,,
25246,U2 Kush,Hybrid,Relaxed, Sleepy, Happy, Hungry, Uplifted, Dry Mouth, Anxious,,Depression, Insomnia, Stress, Pain,,Sweet,,,
36429,Sweet Black Angel,Hybrid,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth,,,Depression, Stress, Pain, Insomnia,,Sweet, Berry, Pine,
36459,Chocolate Fondue,Hybrid,Relaxed, Uplifted, Happy, Talkative, Euphoric, Dry Mouth, Anxious,,Depression, Stress, Nausea, Lack of Appetite,,Sweet, Earthy,,
86090,Pineapple Purps,Sativa,Relaxed, Creative, Uplifted, Happy, Talkative, Dry Mouth, Anxious,,Inflammation, Depression,,,,Pineapple, Sweet, Earthy,
68538,Sunshine Daydream,Hybrid,Relaxed, Euphoric, Happy, Hungry, Uplifted, Dry Mouth, Anxious,,Inflammation, Pain, Depression, Nausea, Insomnia,Sweet, Citrus, Blueberry,
229933,Doctor Doctor,Sativa,Relaxed, Uplifted, Focused, Happy, Tingly,,,,Inflammation, Muscle Spasms, Nausea, Pain,,Sweet, Strawberry, Citrus,
13108,Aliens On Moonshine,Indica,Relaxed, Happy, Tingly, Focused,,,,,Inflammation, Stress,,,,Vanilla,,,
730,Black Cherry OG,Indica,Relaxed, Uplifted, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid,Insomnia, Pain, Stress, Depression,,Berry, Sweet, Earthy,
977,Godberry,Indica,Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid,,,Insomnia, Pain, Stress, Muscle Spasms, Depression,Berry, Blueberry, Sweet,
317,Purple Jolly Rancher,Hybrid,Relaxed, Euphoric, Sleepy, Happy, Uplifted, Dry Mouth, Anxious,,Insomnia, Pain, Nausea, Depression,,Citrus,,,
4272,Enigma,Hybrid,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth,,,,Insomnia, Depression, Pain, Nausea, Inflammation,Citrus,,,
20108,Tangerine Kush,Hybrid,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious,Insomnia, Stress, Pain, Depression, Lack of Appetite,Citrus, Orange, Sweet,
40917,Hades Haze,Indica,Relaxed, Sleepy, Talkative, Euphoric,,,,,Insomnia, Depression, Lack of Appetite, Pain,,Citrus, Earthy,,
82164,Super Bud,Hybrid,Relaxed, Sleepy, Happy, Creative, Dry Mouth, Anxious,,,Insomnia, Lack of Appetite, Pain, Stress,,Citrus, Mint,,
133817,Yumboldt,Hybrid,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Insomnia, Pain, Stress, Depression, Muscle Spasms,Citrus, Earthy, Sweet,
172850,Grape Inferno,Hybrid,Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious,Insomnia, Pain, Stress, Depression, Inflammation,Citrus,,,
474,UW,Indica,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid, Anxious,Insomnia, Stress, Pain, Lack of Appetite, Depression,Earthy, Berry,,
1576,The Black,Hybrid,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth, Anxious, Paranoid,Insomnia, Stress, Pain, Muscle Spasms, Inflammation,Earthy, Sweet,,
4064,Chocolate Chunk,Hybrid,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Insomnia, Pain, Stress, Depression, Nausea,Earthy, Sweet,,
5079,Purple Mr. Nice,Indica,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Anxious,,Insomnia, Pain, Depression, Stress, Nausea,Earthy, Grape, Sweet,
7052,The Doctor,Hybrid,Relaxed, Euphoric, Happy, Sleepy, Dry Mouth, Anxious,,,Insomnia, Pain, Stress, Inflammation, Depression,Earthy, Citrus,,
8597,Chronic Thunder,Indica,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Insomnia, Pain, Muscle Spasms, Stress, Lack of Appetite,Earthy,,,
11113,Chemo,Hybrid,Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid,,Insomnia, Pain, Stress, Lack of Appetite, Depression,Earthy, Sweet,,
11896,Presidential OG,Hybrid,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious,,Insomnia, Stress, Pain, Lack of Appetite, Depression,Earthy, Pine,,
18075,Mad Scientist,Hybrid,Relaxed, Euphoric, Uplifted, Focused, Sleepy, Dry Mouth, Paranoid,,Insomnia, Pain, Stress, Depression, Muscle Spasms,Earthy, Pine,,
20818,Training Day,Hybrid,Relaxed, Euphoric, Sleepy, Happy, Hungry, Dry Mouth, Anxious,,Insomnia, Pain, Stress, Depression, Muscle Spasms,Earthy, Pine,,
36493,Buddha Tahoe,Hybrid,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Insomnia, Pain, Stress, Depression,,Earthy,,,
43710,Monolith,Indica,Relaxed, Sleepy, Tingly, Euphoric, Focused,,,,Insomnia, Lack of Appetite, Pain, Stress, Depression,Earthy, Pine,,
59916,Casper OG,Hybrid,Relaxed, Uplifted, Happy, Sleepy,,,,,Insomnia, Stress, Depression,,,Earthy, Pine, Sweet,
69708,StarBud,Hybrid,Relaxed, Euphoric, Happy, Sleepy, Hungry, Dry Mouth, Anxious,,Insomnia, Stress, Pain, Lack of Appetite, Muscle Spasms,Earthy,,,
93188,Kandahar,Hybrid,Relaxed, Sleepy, Uplifted, Euphoric,,,,,Insomnia, Depression, Pain, Stress,,Earthy,,,
183743,Nicole Kush,Hybrid,Relaxed, Euphoric, Sleepy, Uplifted, Dry Mouth,,,,Insomnia, Depression,,,,Earthy, Sweet,,
173834,Darth Vader OG,Indica,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Insomnia, Stress, Pain, Depression,,Grape, Earthy, Sweet,
211756,Rare Darkness,Hybrid,Relaxed, Sleepy, Euphoric, Hungry, Happy, Dry Mouth, Anxious,,Insomnia, Pain, Stress, Muscle Spasms, Inflammation,Grape, Citrus, Sweet,
