id,status,sort,name,test_id,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,flavor_1,flavor_2,flavor_3,flavor_4
335,1,0,Qleaner,42,NULL,NULL,NULL,Hybrid,0,TGA Seeds,"Uplifted,Energetic,Happy,Euphoric,Creative",,#N/A,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Uplifted,Energetic,Happy,Euphoric,Creative,,,,,,,,,#N/A,,,
2066,2,0,Qush,43,NULL,NULL,NULL,Hybrid,NULL,TGA Seeds,"Relaxed, Sleepy, Uplifted, Happy, Euphoric, Dry Mouth","Stress, Pain, Depression, Insomnia, Lack of Appetite",Citrus,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relaxed, Sleepy, Uplifted, Happy, Euphoric, Dry Mouth,,,Stress, Pain, Depression, Insomnia, Lack of Appetite,Citrus,,,
383,1,0,Space Bomb,45,NULL,NULL,NULL,Hybrid,0,TGA Seeds,#N/A,,#N/A,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
409,1,0,The Flav,46,NULL,NULL,NULL,Hybrid,"386, 349",TGA Seeds,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
6503,2,0,Strawberry Sour Diesel,50,NULL,NULL,NULL,Hybrid,NULL,The Devils Harvest,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
12,1,0,Afgoo,52,NULL,NULL,NULL,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms","Pine, Earthy, Citrus",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Pine, Earthy, Citrus,
287,1,0,Pineapple,57,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Happy,Uplifted,Euphoric,Relaxed,Energetic",,"Earthy,Grape,Berry","Richmond, CA",NULL,2000,NULL,NULL,100,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy,Uplifted,Euphoric,Relaxed,Energetic,,,,,,,,,Earthy,Grape,Berry,
195,1,0,Jack the Ripper,59,NULL,NULL,NULL,Hybrid,0,TGA Seeds,"Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Lemon, Citrus, Earthy","Lake Forest, CA",NULL,1100,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain,,,Lemon, Citrus, Earthy,
146,1,0,Grape Ape,60,NULL,NULL,NULL,Hybrid,0,Apothecary Seed Company,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Depression","Grape, Sweet, Berry","Richmond, CA",NULL,1600,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Stress, Pain, Insomnia, Depression,,Grape, Sweet, Berry,
991,2,0,Holy Grail,61,NULL,NULL,NULL,Hybrid,NULL,Earthwise Growers,#N/A,,#N/A,", CA",NULL,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
163,1,0,Harlequin,62,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious","Stress, Pain, Depression, Inflammation","Earthy, Sweet","San Juan Capistrano, CA",NULL,600,NULL,NULL,1000,NULL,NULL,100000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious,,Stress, Pain, Depression, Inflammation,,Earthy, Sweet,,
121,1,0,Dutch Treat,63,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
100,1,0,Chocolope,64,NULL,NULL,NULL,Sativa,0,WOSC,"Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Earthy, Coffee, Sweet","Cypress, CA",NULL,1900,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Stress, Depression, Pain, Lack of Appetite,,Earthy, Coffee, Sweet,
140,1,0,God's Gift,67,NULL,NULL,NULL,Hybrid,0,,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
1130,2,0,Purple Fire,69,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,#N/A,,#N/A,"Richmond, CA",NULL,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
8704,2,0,Gremlin,72,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,"Euphoric,Relaxed,Uplifted,Aroused,Sleepy",,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Euphoric,Relaxed,Uplifted,Aroused,Sleepy,,,,,,,,,#N/A,,,
193,1,0,Jack Herer,74,NULL,NULL,NULL,Hybrid,"370,268,174",Sensi Seeds,"Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Earthy, Pine","Beckwourth, CA",NULL,1600,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain, Lack of Appetite,,Earthy, Pine,,
381,1,0,Sour Kush,80,NULL,NULL,NULL,Hybrid,0,Mystic Seeds,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,90,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
16,1,0,AK-47,82,NULL,NULL,NULL,Hybrid,"10, 257",Serious Seeds,"Happy,Relaxed,Uplifted,Euphoric,Energetic",,#N/A,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy,Relaxed,Uplifted,Euphoric,Energetic,,,,,,,,,#N/A,,,
1246,2,0,Ace of Spades,83,NULL,NULL,NULL,Hybrid,NULL,TGA Seeds,"Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Lack of Appetite, Pain, Depression, Insomnia","Earthy, Berry","Richmond, CA",NULL,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Stress, Lack of Appetite, Pain, Depression, Insomnia,Earthy, Berry,,
57,1,0,Blue Dream,84,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,#N/A,,#N/A,"Los Angeles, CA",NULL,2000,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
136,1,0,G-13,86,NULL,NULL,NULL,Hybrid,0,,"Relaxed,Happy,Euphoric,Uplifted,Hungry",,"Chemical,Sage,Flowery",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed,Happy,Euphoric,Uplifted,Hungry,,,,,,,,,Chemical,Sage,Flowery,
286,1,0,Permafrost,87,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Focused,Happy,Relaxed,Talkative,Euphoric",,#N/A,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Focused,Happy,Relaxed,Talkative,Euphoric,,,,,,,,,#N/A,,,
290,1,0,Pineapple Kush,88,NULL,NULL,NULL,Hybrid,0,Royal Queen,#N/A,,#N/A,"Southern California, CA",NULL,1900,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
376,1,0,Sour Diesel,89,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,#N/A,,"Earthy,Sweet,Pungent","Lake Forest, CA",NULL,1700,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,Earthy,Sweet,Pungent,
86,1,0,Casey Jones,90,NULL,NULL,NULL,Hybrid,0,Head Seeds,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Inflammation","Sweet, Earthy",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious,Depression, Stress, Pain, Inflammation,,Sweet, Earthy,,
1389,2,0,Purple Urkel,91,NULL,NULL,NULL,Indica,NULL,Grandaddypurp Collective,#N/A,,"Sweet,Earthy,Tropical","Richmond, CA",NULL,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,Sweet,Earthy,Tropical,
15,1,0,Agent Orange,93,NULL,NULL,NULL,Hybrid,"455, 386",TGA Seeds,#N/A,,"Spicy/Herbal,Sage,Woody",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,Spicy/Herbal,Sage,Woody,
337,1,0,Querkle,96,NULL,NULL,NULL,Hybrid,"386, 333",TGA Seeds,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Depression","Sweet, Earthy, Berry",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Stress, Pain, Insomnia, Lack of Appetite, Depression,Sweet, Earthy, Berry,
434,1,0,White Widow,97,NULL,NULL,NULL,Hybrid,0,Green House Seed Co.,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,14,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
198,1,0,Juicy Fruit,99,NULL,NULL,NULL,Hybrid,10,Sensi Seeds,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
1431,2,0,Amnesia,100,NULL,NULL,NULL,Sativa,NULL,NULL,"Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Earthy, Sweet",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain, Lack of Appetite,,Earthy, Sweet,,
1462,2,0,Cinex,101,NULL,NULL,NULL,Hybrid,NULL,Cannaman Farms,"Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid","Depression, Stress, Pain","Citrus, Earthy",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Depression, Stress, Pain,,,Citrus, Earthy,,
1893,2,0,Godzilla,103,NULL,NULL,NULL,Hybrid,NULL,Ca̱a De Espa̱a,"Euphoric, Relaxed, Sleepy, Creative, Happy, Dry Mouth","Pain, Inflammation, Stress, Insomnia, Depression","Earthy, Berry",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Euphoric, Relaxed, Sleepy, Creative, Happy, Dry Mouth,,,Pain, Inflammation, Stress, Insomnia, Depression,Earthy, Berry,,
69,1,0,Blueberry Kush,105,NULL,NULL,NULL,Indica,0,,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Blueberry, Berry, Sweet",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid,,Pain, Stress, Insomnia, Depression, Lack of Appetite,Blueberry, Berry, Sweet,
9033,2,0,Black,112,NULL,NULL,NULL,Hybrid,NULL,Vancouver Island Seed Company,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
294,1,0,Pitbull,116,NULL,NULL,NULL,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Nausea, Insomnia","Earthy, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Pain, Stress, Depression, Nausea, Insomnia,Earthy, Sweet,,
80,1,0,Burmese Kush,119,NULL,NULL,NULL,Hybrid,0,,#N/A,,#N/A,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
76,1,0,Bubble Gum,128,NULL,NULL,NULL,Hybrid,0,Serious Seeds,#N/A,,#N/A,"Bakersfield, CA",NULL,600,NULL,NULL,1000,NULL,NULL,100000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
425,1,0,Vortex,130,NULL,NULL,NULL,Hybrid,"349, 103",TGA Seeds,"Uplifted, Euphoric, Relaxed, Happy, Energetic, Dry Mouth, Anxious","Stress, Depression, Pain","Mango, Earthy, Lemon",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Uplifted, Euphoric, Relaxed, Happy, Energetic, Dry Mouth, Anxious,,Stress, Depression, Pain,,,Mango, Earthy, Lemon,
404,1,0,Tangerine Dream,131,NULL,NULL,NULL,Hybrid,0,,#N/A,,"Flowery,Citrus,Pungent",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,Flowery,Citrus,Pungent,
1375,2,0,Royal Queen,132,NULL,NULL,NULL,Hybrid,NULL,Holistic Healing Collective,#N/A,,"Sweet,Pine,Woody","Richmond, CA",NULL,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,Sweet,Pine,Woody,
9246,2,0,Jack Herrer,136,NULL,NULL,NULL,Hybrid,NULL,THC Seeds,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
259,1,0,Moby Dick,137,NULL,NULL,NULL,Hybrid,0,Dinafem Seeds,"Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Earthy, Sweet","Venice, CA",NULL,1100,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain,,,Citrus, Earthy, Sweet,
5381,2,0,Purple Pineapple,139,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,#N/A,,"Sweet,Earthy,Tropical",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,Sweet,Earthy,Tropical,
6574,2,0,Sour Lemon OG,142,NULL,NULL,NULL,Hybrid,NULL,Emerald Triangle,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
1076,2,0,Golden Nugget,144,NULL,NULL,NULL,Hybrid,NULL,PAPA GANJA,#N/A,,#N/A,"Lake Forest, CA",NULL,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
268,1,0,NYC Diesel,146,NULL,NULL,NULL,Hybrid,"10,378",Soma Seeds,#N/A,,#N/A,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
864,1,0,NYC Diesel,146,NULL,NULL,NULL,Hybrid,,Soma Seeds,#N/A,,#N/A,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
7185,2,0,Berkeley Blues,157,NULL,NULL,NULL,Hybrid,NULL,Stoney Girl Gardens,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
6847,2,0,Blue Magoo,158,NULL,NULL,NULL,Hybrid,NULL,Dynasty Seeds,#N/A,,"Tree,Fruit,Sweet,Grape",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,Tree,Fruit,Sweet,Grape
107,1,0,Critical Mass,159,NULL,NULL,NULL,Hybrid,"10, 370",Seed Bank,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Inflammation","Earthy, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid,Stress, Pain, Depression, Insomnia, Inflammation,Earthy, Sweet,,
7989,2,0,Grape Krush,160,NULL,NULL,NULL,Hybrid,NULL,DJ Short,#N/A,,"Earthy,Sweet,Pine",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,Earthy,Sweet,Pine,
906,2,0,Train Wreck,163,NULL,NULL,NULL,Hybrid,NULL,THC Seeds,#N/A,,"Earthy,Berry,Blueberry","Los Angeles, CA",NULL,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,Earthy,Berry,Blueberry,
7709,2,0,Frosted Flakes,170,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
412,1,0,Trainwreck,171,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Happy,Euphoric,Relaxed,Uplifted,Creative",,"Woody,Earthy,Citrus",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Happy,Euphoric,Relaxed,Uplifted,Creative,,,,,,,,,Woody,Earthy,Citrus,
13,1,0,Afgooey,173,NULL,NULL,NULL,Indica,0,,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,,Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms,Earthy, Pine,,
74,1,0,Bubba Kush,177,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet","Los Angeles, CA",NULL,1800,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Earthy, Sweet,,
222,1,0,Lavender,182,NULL,NULL,NULL,Indica,0,Soma,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Nausea","Lavender, Sweet",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Stress, Pain, Depression, Insomnia, Nausea,Lavender, Sweet,,
104,1,0,Connie Chung,185,NULL,NULL,NULL,Hybrid,0,DNA Genetics,#N/A,,#N/A,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,,,,,,,,,,,,#N/A,,,
6697,2,0,Hawaiian Dutch Treat,187,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,#N/A,,#N/A,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,#N/A,,,
