test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count
1959,Burmese,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pungent,Sweet,0,0,3
2009,Buffalo Bill,Sativa,Depression, Stress, Pain, Insomnia,None,Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Anxious,None,Pine, Earthy,None,4,7,2
2022,Alaskan Thunder Fuck,Sativa,Stress, Depression, Lack of Appetite, Pain,None,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Earthy, Pine,None,4,8,2
2023,Deadwood,Indica,Stress, Muscle Spasms, Pain,None,None,Relaxed, Sleepy, Creative, Focused, Happy,None,None,None,Berry, Lavender, Earthy,3,5,3
2044,Green Crack,Hybrid,Stress, Depression, Pain,None,None,Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Sweet, Earthy,3,8,3
2119,Blackberry Trainwreck,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Tropical,Flowery,0,0,3
2122,Skywalker,Hybrid,Stress, Pain, Depression, Insomnia,None,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,4,8,2
2140,Blue Mystic,Hybrid,Stress, Depression, Nausea,None,None,Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,None,Blueberry, Earthy, Sweet,3,7,3
2179,Berry White,Hybrid,Stress, Pain, Depression, Insomnia,None,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Blueberry,4,8,3
2211,Purple Diesel,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Grape,Rose,Honey,0,0,3
2222,Blue City Diesel,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Lime,Grapefruit,Tropical,0,0,3
2268,Straight Jacket,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Grapefruit,Earthy,0,0,3
2280,Cinderella 99,Sativa,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Spicy/Herbal,Sweet,0,0,3
2343,Royal Haze,Hybrid,Depression, Stress, Pain,None,None,Uplifted, Relaxed, Talkative, Happy, Euphoric, Dry Mouth,None,None,Skunk, Citrus, Earthy,3,6,3
2350,Strawberry Kush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Berry,Flowery,0,0,3
2358,Jack Frost,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Citrus,Sweet,0,0,3
2563,X Factor,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Woody,Earthy,0,0,3
2626,Papaya,Hybrid,Stress, Pain, Insomnia, Inflammation,None,Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Sweet,None,None,4,8,1
2629,Acapulco Gold,Sativa,Depression, Stress, Pain, Lack of Appetite,None,Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Citrus,None,4,8,2
2688,LSD,Hybrid,None,None,None,None,None,Happy,Relaxed,Euphoric,Uplifted,Creative,None,None,None,Citrus,Pepper,Grapefruit,0,5,3
2748,Oregon Diesel,Hybrid,Depression, Stress, Insomnia, Pain,None,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious,Earthy,None,None,4,8,1
2764,Critical Kush,Indica,Depression, Stress, Pain, Lack of Appetite, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,None,None,5,8,1
2772,Vanilla Kush,Indica,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,None,Vanilla, Sweet,None,5,7,2
2945,White Rhino,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid,None,Earthy, Sweet,None,5,7,2
2946,White Lavender,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Strawberry,Sweet,Flowery,0,0,3
2949,Thai,Sativa,Stress, Depression, Pain,None,None,Happy, Relaxed, Uplifted, Euphoric, Energetic, Dry Mouth, Anxious,None,Earthy, Sweet,None,3,7,2
2993,Bubblicious,Hybrid,None,None,None,None,None,Happy,Relaxed,Talkative,Giggly,Uplifted,None,None,None,Sweet,Tropical,Citrus,0,5,3
2996,Shark Attack,Hybrid,Pain, Stress, Insomnia, Inflammation,None,Happy, Focused, Hungry, Horny, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Skunk,None,4,8,2
3052,Blackberry,Hybrid,None,None,None,None,None,Relaxed,Euphoric,Happy,Uplifted,Sleepy,None,None,None,None,None,None,0,5,0
3280,Purple Haze,Hybrid,Depression, Stress, Pain,None,None,Euphoric, Happy, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid,None,Earthy, Sweet, Berry,3,7,3
3348,Everlast,Indica,Stress, Insomnia, Pain, Depression, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth,None,None,Earthy, Skunk,None,5,6,2
3388,Northern Lights x Blueberry,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Pungent,Skunk,0,0,3
3439,Alien Dawg,Indica,Stress, Pain, Insomnia, Nausea,None,Relaxed, Euphoric, Happy, Sleepy, Uplifted, Dry Mouth, Anxious,None,Earthy,None,None,4,7,1
3510,Blood Wreck,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Earthy,Flowery,0,0,3
3523,Flo,Hybrid,None,None,None,None,None,Happy,Uplifted,Relaxed,Creative,Focused,None,None,None,None,None,None,0,5,0
3528,Maui Wowie,Sativa,Stress, Depression, Pain,None,None,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Sweet, Pineapple,None,3,8,2
3560,Sensi Star,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,None,Earthy, Sweet,None,5,7,2
3574,Blueberry Skunk,Hybrid,Stress, Pain, Muscle Spasms, Nausea,None,Euphoric, Relaxed, Happy, Uplifted, Tingly, Dry Mouth, Anxious, Paranoid,Blueberry, Berry, Skunk,4,8,3
