id,status,sort,name,test_id,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
57,1,0,Blue Dream,84,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,"Los Angeles, CA",NULL,2000,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,1,0,G-13,86,NULL,NULL,NULL,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,1,0,Permafrost,87,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,1,0,Pineapple Kush,88,NULL,NULL,NULL,Hybrid,0,Royal Queen,NULL,NULL,NULL,"Southern California, CA",NULL,1900,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,1,0,Sour Diesel,89,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,"Lake Forest, CA",NULL,1700,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,1,0,Casey Jones,90,NULL,NULL,NULL,Hybrid,0,Head Seeds,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Inflammation","Sweet, Earthy",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1389,2,0,Purple Urkel,91,NULL,NULL,NULL,Indica,NULL,Grandaddypurp Collective,NULL,NULL,NULL,"Richmond, CA",NULL,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,Agent Orange,93,NULL,NULL,NULL,Hybrid,"455, 386",TGA Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,1,0,Querkle,96,NULL,NULL,NULL,Hybrid,"386, 333",TGA Seeds,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Depression","Sweet, Earthy, Berry",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
434,1,0,White Widow,97,NULL,NULL,NULL,Hybrid,0,Green House Seed Co.,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,14,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,1,0,Juicy Fruit,99,NULL,NULL,NULL,Hybrid,10,Sensi Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1431,2,0,Amnesia,100,NULL,NULL,NULL,Sativa,NULL,NULL,"Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Earthy, Sweet",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,2,0,Cinex,101,NULL,NULL,NULL,Hybrid,NULL,Cannaman Farms,"Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid","Depression, Stress, Pain","Citrus, Earthy",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,2,0,Godzilla,103,NULL,NULL,NULL,Hybrid,NULL,Ca̱a De Espa̱a,"Euphoric, Relaxed, Sleepy, Creative, Happy, Dry Mouth","Pain, Inflammation, Stress, Insomnia, Depression","Earthy, Berry",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,0,Blueberry Kush,105,NULL,NULL,NULL,Indica,0,,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Blueberry, Berry, Sweet",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9033,2,0,Black,112,NULL,NULL,NULL,Hybrid,NULL,Vancouver Island Seed Company,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,1,0,Pitbull,116,NULL,NULL,NULL,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Nausea, Insomnia","Earthy, Sweet",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,1,0,Burmese Kush,119,NULL,NULL,NULL,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,1,0,Bubble Gum,128,NULL,NULL,NULL,Hybrid,0,Serious Seeds,NULL,NULL,NULL,"Bakersfield, CA",NULL,600,NULL,NULL,1000,NULL,NULL,100000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
425,1,0,Vortex,130,NULL,NULL,NULL,Hybrid,"349, 103",TGA Seeds,"Uplifted, Euphoric, Relaxed, Happy, Energetic, Dry Mouth, Anxious","Stress, Depression, Pain","Mango, Earthy, Lemon",NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
404,1,0,Tangerine Dream,131,NULL,NULL,NULL,Hybrid,0,,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1375,2,0,Royal Queen,132,NULL,NULL,NULL,Hybrid,NULL,Holistic Healing Collective,NULL,NULL,NULL,"Richmond, CA",NULL,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9246,2,0,Jack Herrer,136,NULL,NULL,NULL,Hybrid,NULL,THC Seeds,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1,0,Moby Dick,137,NULL,NULL,NULL,Hybrid,0,Dinafem Seeds,"Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Earthy, Sweet","Venice, CA",NULL,1100,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5381,2,0,Purple Pineapple,139,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6574,2,0,Sour Lemon OG,142,NULL,NULL,NULL,Hybrid,NULL,Emerald Triangle,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
