test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count,thc_max,cbd_max,thc_cbd,cbd_thc,inventory_type,chemotype,strain_leafly_page_rank,strain_leafly_review_rank,strain_tests,strain_chemotype,strain_prop_chemotype1,strain_prop_chemotype2,strain_prop_chemotype3,strain_modal_chemo_prop
59,Jack the Ripper,Hybrid,Stress, Depression, Pain,None,None,Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Earthy,3,8,3,4.008,0,0,0,Flower Lot,1,158,122,322,1,0.9782609,0.0155279,0.0062112,0.9782609
60,Grape Ape,Hybrid,Stress, Pain, Insomnia, Depression,None,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,None,Grape, Sweet, Berry,4,7,3,9.67,0,0,0,Flower Lot,1,39,32,1860,1,0.9978495,0.0021505,0,0.9978495
62,Harlequin,Hybrid,Stress, Pain, Depression, Inflammation,None,Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious,None,Earthy, Sweet,None,4,7,2,6.9406,0,0,0,Flower Lot,1,32,40,1205,2,0.3585062,0.586722,0.0547718,0.586722
64,Chocolope,Sativa,Stress, Depression, Pain, Lack of Appetite,None,Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Coffee, Sweet,4,8,3,12.9395,0,0,0,Flower Lot,1,85,42,682,1,1,0,0,1
72,Gremlin,Hybrid,None,None,None,None,None,Euphoric,Relaxed,Uplifted,Aroused,Sleepy,None,None,None,None,None,None,0,5,0,16.20232,0.11,147.29,0.01,Flower Lot,1,0,0,0,0,0,0,0,0
74,Jack Herer,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Pine,None,4,8,2,17.19814,0.02,859.91,0,Flower Lot,1,9,9,1489,1,0.9899261,0.0100739,0,0.9899261
82,AK-47,Hybrid,None,None,None,None,None,Happy,Relaxed,Uplifted,Euphoric,Energetic,None,None,None,None,None,None,0,5,0,14.50805,0.01,1450.81,0,Flower Lot,1,16,15,1646,1,0.9933171,0.0054678,0.0012151,0.9933171
83,Ace of Spades,Hybrid,Stress, Lack of Appetite, Pain, Depression, Insomnia,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Berry,None,5,8,2,9.21006,0.01,921.01,0,Flower Lot,1,296,120,940,1,0.9787234,0.0148936,0.006383,0.9787234
86,G-13,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Uplifted,Hungry,None,None,None,Chemical,Sage,Flowery,0,5,3,13.00715,0.01,1300.72,0,Flower Lot,1,56,69,355,1,0.9915493,0.0084507,0,0.9915493
87,Permafrost,Hybrid,None,None,None,None,None,Focused,Happy,Relaxed,Talkative,Euphoric,None,None,None,None,None,None,0,5,0,12.82555,0.01,1282.56,0,Flower Lot,1,317,126,1076,1,0.9981413,0.0018587,0,0.9981413
89,Sour Diesel,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Pungent,0,0,3,12.82555,0.01,1282.56,0,Flower Lot,1,3,2,2377,1,0.9907447,0.0088347,0.0004207,0.9907447
90,Casey Jones,Hybrid,Depression, Stress, Pain, Inflammation,None,Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,None,4,8,2,12.12518,0.01,1212.52,0,Flower Lot,1,213,114,19,1,1,0,0,1
91,Purple Urkel,Indica,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Earthy,Tropical,0,0,3,16.11082,0.44,36.62,0.03,Flower Lot,1,64,43,737,1,0.9932157,0.0067843,0,0.9932157
93,Agent Orange,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Spicy/Herbal,Sage,Woody,0,0,3,13.01854,0.01,1301.85,0,Flower Lot,1,74,52,784,1,0.994898,0.002551,0.002551,0.994898
96,Querkle,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,None,Sweet, Earthy, Berry,5,7,3,15.63505,0.18,86.86,0.01,Flower Lot,1,315,138,244,1,1,0,0,1
100,Amnesia,Sativa,Stress, Depression, Pain, Lack of Appetite,None,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,4,8,2,16.47237,0.01,1647.24,0,Flower Lot,1,103,60,315,1,0.952381,0.047619,0,0.952381
101,Cinex,Hybrid,Depression, Stress, Pain,None,None,Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Earthy,None,3,8,2,16.8122,0,0,0,Flower Lot,1,119,71,4017,1,0.9972616,0.0024894,0.0002489,0.9972616
103,Godzilla,Hybrid,Pain, Inflammation, Stress, Insomnia, Depression,Euphoric, Relaxed, Sleepy, Creative, Happy, Dry Mouth,None,None,Earthy, Berry,None,5,6,2,15.5475,0,0,0,Flower Lot,1,894,145,11,1,1,0,0,1
105,Blueberry Kush,Indica,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid,None,Blueberry, Berry, Sweet,5,7,3,15.17099,0.01,1517.1,0,Flower Lot,1,93,67,476,1,0.9852941,0.0147059,0,0.9852941
116,Pitbull,Indica,Pain, Stress, Depression, Nausea, Insomnia,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,5,8,2,13.69437,0.01,1369.44,0,Flower Lot,1,607,134,760,1,0.9960526,0.0039474,0,0.9960526
130,Vortex,Hybrid,Stress, Depression, Pain,None,None,Uplifted, Euphoric, Relaxed, Happy, Energetic, Dry Mouth, Anxious,None,Mango, Earthy, Lemon,3,7,3,11.50748,0.01,1150.75,0,Flower Lot,1,256,131,136,1,0.9705882,0.0294118,0,0.9705882
131,Tangerine Dream,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Flowery,Citrus,Pungent,0,0,3,17.43017,0.01,1743.02,0,Flower Lot,1,86,57,564,1,0.9893617,0.0070922,0.0035461,0.9893617
132,Royal Queen,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Pine,Woody,0,0,3,14.04233,0.01,1404.23,0,Flower Lot,1,0,0,0,0,0,0,0,0
137,Moby Dick,Hybrid,Stress, Depression, Pain,None,None,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,3,8,3,14.0548,0.52,27.03,0.04,Flower Lot,1,101,62,50,1,1,0,0,1
139,Purple Pineapple,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Earthy,Tropical,0,0,3,13.09678,0.01,1309.68,0,Flower Lot,1,0,0,0,0,0,0,0,0
158,Blue Magoo,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Tree,Fruit,Sweet,0,0,3,14.88314,0.01,1488.31,0,Flower Lot,1,295,113,666,1,1,0,0,1
159,Critical Mass,Hybrid,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,None,5,8,2,4.24105,7.87,0.54,1.86,Flower Lot,2,70,69,568,1,0.5633803,0.4366197,0,0.5633803
160,Grape Krush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Pine,0,0,3,6.13756,7.27,0.84,1.18,Flower Lot,2,1304,145,12,2,0.3333333,0.6666667,0,0.6666667
163,Train Wreck,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Berry,Blueberry,0,0,3,16.432,0.01,1643.2,0,Flower Lot,1,14,18,871,1,1,0,0,1
171,Trainwreck,Hybrid,None,None,None,None,None,Happy,Euphoric,Relaxed,Uplifted,Creative,None,None,None,Woody,Earthy,Citrus,0,5,3,14.2243,0.22,64.66,0.02,Flower Lot,1,14,18,871,1,1,0,0,1
173,Afgooey,Indica,Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,None,Earthy, Pine,None,5,7,2,18.6693,0.13,143.61,0.01,Flower Lot,1,416,129,561,1,0.9946524,0.0053476,0,0.9946524
177,Bubba Kush,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,None,5,8,2,12.55218,0.01,1255.22,0,Flower Lot,1,10,13,1316,1,0.9901216,0.0098784,0,0.9901216
182,Lavender,Indica,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,None,Lavender, Sweet,None,5,7,2,16.01323,0.01,1601.32,0,Flower Lot,1,151,76,884,1,0.9977376,0.0022624,0,0.9977376
1018,Maui,Hybrid,Depression, Stress, Lack of Appetite,None,None,Talkative, Energetic, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,None,Citrus, Sweet,None,3,7,2,17.53721,0.109,160.89,0.01,Flower Lot,1,479,146,171,1,1,0,0,1
206,Alice in Wonderland,Hybrid,Lack of Appetite, Stress, Depression, Muscle Spasms,None,Relaxed, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious,None,Pine, Earthy, Sweet,4,7,3,11.49111,0.19,60.48,0.02,Flower Lot,1,535,141,177,1,0.9491525,0.039548,0.0112994,0.9491525
208,Strawberry Cough,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Strawberry, Sweet, Berry,4,8,3,11.73576,0.11,106.69,0.01,Flower Lot,1,28,16,1093,1,0.9990851,0.0009149,0,0.9990851
214,Dynamite,Hybrid,Stress, Pain, Inflammation, Depression,None,Euphoric, Tingly, Talkative, Creative, Horny, Dry Mouth, Anxious,None,Earthy, Citrus,None,4,7,2,10.81828,0.05,216.37,0,Flower Lot,1,874,144,134,1,1,0,0,1
216,Headband,Hybrid,None,None,None,None,None,Happy,Relaxed,Uplifted,Euphoric,Creative,None,None,None,None,None,None,0,5,0,11.48095,0.11,104.37,0.01,Flower Lot,1,27,21,1514,1,0.997358,0.001321,0.001321,0.997358
226,Durban Poison,Sativa,Depression, Stress, Pain, Nausea,None,Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Sweet, Pine,4,8,3,13.3673,0.16,83.55,0.01,Flower Lot,1,13,12,1413,1,0.9738146,0.0233546,0.0028309,0.9738146
230,Skunk #1,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Berry,Lavender,Earthy,0,0,3,9.99144,0.11,90.83,0.01,Flower Lot,1,58,113,742,1,0.9824798,0.0175202,0,0.9824798
234,Candy Skunk,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Tropical,Sweet,Tree,0,0,3,10.7132,0.12,89.28,0.01,Flower Lot,1,0,0,0,0,0,0,0,0
243,Blue God,Hybrid,Pain, Insomnia, Stress, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Hungry, Happy, Dry Mouth, Paranoid,None,Berry, Blueberry, Sweet,5,7,3,12.34565,0.09,137.17,0.01,Flower Lot,1,426,131,53,1,0.8490566,0.1320755,0.0188679,0.8490566
244,Space Queen,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Tropical,Sweet,Tree,0,0,3,7.75926,0.04,193.98,0.01,Flower Lot,1,115,79,520,1,1,0,0,1
274,Night Train,Hybrid,Insomnia, Pain, Stress, Lack of Appetite,None,Relaxed, Sleepy, Tingly, Euphoric, Uplifted,None,None,None,Pepper,None,None,4,5,1,7.12381,0.09,79.15,0.01,Flower Lot,1,1534,151,36,1,1,0,0,1
276,Blackberry Kush,Hybrid,Stress, Pain, Insomnia, Depression, Nausea,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Earthy,5,8,3,12.18806,0.21,58.04,0.02,Flower Lot,1,46,36,1519,1,0.9953917,0.00395,0.0006583,0.9953917
285,Big Bud,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid,None,Earthy,None,None,5,7,1,10.1693,0.07,145.28,0.01,Flower Lot,1,132,119,142,1,1,0,0,1
286,Blue Cheese,Hybrid,Stress, Insomnia, Pain, Depression,None,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,None,Blueberry,None,None,4,7,1,9.61032,0.06,160.17,0.01,Flower Lot,1,23,19,436,1,0.9862385,0.0045872,0.0091743,0.9862385
294,OG Kush,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Skunk,Flowery,0,0,3,12.84859,0.09,142.76,0.01,Flower Lot,1,5,6,1948,1,0.9922998,0.0077002,0,0.9922998
296,Shining Silver Haze,Hybrid,Stress,None,None,None,None,Talkative, Happy, Focused, Uplifted, Energetic,None,None,None,None,None,None,1,5,0,3.49581,6.45,0.54,1.85,Flower Lot,2,1243,149,41,1,0.9756098,0.0243902,0,0.9756098
308,Sage,Hybrid,None,None,None,None,None,Happy,Euphoric,Relaxed,Uplifted,Energetic,None,None,None,None,None,None,0,5,0,11.50892,0.08,143.86,0.01,Flower Lot,1,393,134,272,1,0.9926471,0,0.0073529,0.9926471
317,Purple Jolly Rancher,Hybrid,Insomnia, Pain, Nausea, Depression,None,Relaxed, Euphoric, Sleepy, Happy, Uplifted, Dry Mouth, Anxious,None,Citrus,None,None,4,7,1,15.77499,0.05,315.5,0,Flower Lot,1,1332,147,222,1,0.9864865,0.009009,0.0045045,0.9864865
347,Chocolate Thai,Hybrid,Stress, Depression, Pain, Insomnia, Nausea,Relaxed, Uplifted, Happy, Focused, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Coffee,None,5,8,2,12.2979,0.02,614.9,0,Flower Lot,1,290,141,66,1,1,0,0,1
352,Obama Kush,Hybrid,Pain, Stress, Depression, Nausea, Muscle Spasms,Relaxed, Uplifted, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,5,8,2,7.91846,0.42,18.85,0.05,Flower Lot,1,126,65,382,1,0.973822,0.026178,0,0.973822
358,Purple Kush,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,None,Earthy, Berry, Grape,5,7,3,11.68298,0.03,389.43,0,Flower Lot,1,21,24,852,1,0.9953052,0.0023474,0.0023474,0.9953052
360,Schrom,Hybrid,Stress, Depression, Lack of Appetite, Muscle Spasms,None,Happy, Relaxed, Uplifted, Energetic, Creative, Dry Mouth,None,None,Lemon, Citrus, Pine,4,6,3,7.26199,0.01,726.2,0,Flower Lot,1,0,0,0,0,0,0,0,0
471,Chemdawg,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Uplifted,Creative,None,None,None,None,None,None,0,5,0,11.44908,0.04,286.23,0,Flower Lot,1,18,23,852,1,0.9988263,0.0011737,0,0.9988263
474,UW,Indica,Insomnia, Stress, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Berry,None,5,8,2,19.3532,0.17,113.84,0.01,Flower Lot,1,675,136,585,1,0.9760684,0.0239316,0,0.9760684
495,Warlock,Hybrid,None,None,None,None,None,Relaxed,Hungry,Happy,Euphoric,Uplifted,None,None,None,Earthy,Sweet,Woody,0,5,3,11.57913,0.04,289.48,0,Flower Lot,1,601,142,41,1,1,0,0,1
605,God Bud,Hybrid,Stress, Pain, Depression, Inflammation, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,5,8,2,18.25123,0.01,1825.12,0,Flower Lot,1,137,90,607,1,0.9967051,0.0032949,0,0.9967051
637,Grape God,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Lavender,Tobacco,Earthy,0,0,3,7.16996,0.01,717,0,Flower Lot,1,234,86,129,1,1,0,0,1
652,Blue Hawaiian,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Woody,Pine,0,0,3,15.13804,0.04,378.45,0,Flower Lot,1,453,116,620,1,1,0,0,1
673,Seattle Cough,Hybrid,Depression, Stress, Inflammation, Nausea,None,Happy, Creative, Uplifted, Relaxed, Talkative, Dry Mouth, Paranoid,None,Pine, Citrus,None,4,7,2,16.48874,0.03,549.62,0,Flower Lot,1,1273,146,181,1,1,0,0,1
707,Freezeland,Indica,Stress, Insomnia, Depression, Lack of Appetite,None,Happy, Euphoric, Relaxed, Sleepy, Dry Mouth, Paranoid,None,None,Pine, Earthy,None,4,6,2,13.21651,0.04,330.41,0,Flower Lot,1,1101,146,7,1,1,0,0,1
730,Black Cherry OG,Indica,Insomnia, Pain, Stress, Depression,None,Relaxed, Uplifted, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid,Berry, Sweet, Earthy,4,8,3,19.74197,0.08,246.77,0,Flower Lot,1,555,141,246,1,0.9918699,0.0081301,0,0.9918699
747,Romulan,Hybrid,Stress, Pain, Insomnia, Muscle Spasms,None,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,None,Earthy, Sweet,None,4,7,2,15.05649,0.03,501.88,0,Flower Lot,1,121,80,642,1,0.9875389,0.0124611,0,0.9875389
786,Ice,Hybrid,None,None,None,None,None,Euphoric,Uplifted,Relaxed,Happy,Tingly,None,None,None,None,None,None,0,5,0,14.82863,0.04,370.72,0,Flower Lot,1,230,134,116,1,0.9655172,0.0344828,0,0.9655172
803,Dirty Girl,Hybrid,Depression, Stress, Pain, Insomnia,None,Happy, Uplifted, Euphoric, Creative, Energetic, Dry Mouth, Paranoid, Anxious,Sweet, Pine,None,4,8,2,16.54365,0.04,413.59,0,Flower Lot,1,433,132,1838,1,0.9929271,0.0043526,0.0027203,0.9929271
814,B-52,Hybrid,Stress, Insomnia, Lack of Appetite, Depression,None,Relaxed, Uplifted, Focused, Euphoric, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,4,8,2,18.48203,0.28,66.01,0.02,Flower Lot,1,996,146,122,1,1,0,0,1
843,Plushberry,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious,None,Berry, Sweet,None,5,7,2,16.92814,0.75,22.57,0.04,Flower Lot,1,311,124,1036,1,0.988417,0.011583,0,0.988417
844,Mickey Kush,Sativa,Depression, Stress, Pain, Lack of Appetite,None,Happy, Uplifted, Energetic, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Earthy, Sweet, Pine,4,8,3,13.90361,0.04,347.59,0,Flower Lot,1,957,138,133,1,0.9924812,0.0075188,0,0.9924812
933,Double Purple,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Pine,0,0,3,10.53676,0.03,351.23,0,Flower Lot,1,1115,151,52,1,1,0,0,1
944,Master Kush,Hybrid,Stress, Pain, Insomnia, Depression,None,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,None,None,4,8,1,14.95159,0.099,151.03,0.01,Flower Lot,1,31,33,467,1,0.9914347,0.0085653,0,0.9914347
945,New York Diesel,Sativa,None,None,None,None,None,None,None,None,None,None,None,None,None,Citrus,Spicy/Herbal,Sweet,0,0,3,14.49506,0.099,146.41,0.01,Flower Lot,1,0,0,0,0,0,0,0,0
950,Shiva Skunk,Hybrid,Pain, Stress, Insomnia, Lack of Appetite,None,Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,None,Skunk, Sweet, Earthy,4,7,3,14.91695,0.223,66.89,0.01,Flower Lot,1,318,145,55,1,1,0,0,1
951,Super Lemon Haze,Hybrid,Stress, Depression, Pain,None,None,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Sweet,3,8,3,12.47531,0.128,97.46,0.01,Flower Lot,1,29,22,2696,1,0.9873887,0.0055638,0.0070475,0.9873887
977,Godberry,Indica,Insomnia, Pain, Stress, Muscle Spasms, Depression,Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid,None,None,Berry, Blueberry, Sweet,5,6,3,14.032,0,0,0,Flower Lot,1,910,146,29,1,1,0,0,1
1008,Quantum Kush,Hybrid,Depression, Stress, Lack of Appetite, Pain,None,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,None,4,8,2,15.36638,0.18,85.37,0.01,Flower Lot,1,226,98,136,1,1,0,0,1
1041,Orange Kush,Hybrid,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Uplifted, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,Citrus, Orange, Sweet,5,8,3,21.07542,0.139,151.62,0.01,Flower Lot,1,112,77,1250,1,0.9904,0.0096,0,0.9904
1053,Panama Red,Hybrid,Depression, Stress, Pain,None,None,Happy, Uplifted, Energetic, Focused, Horny, Dry Mouth, Anxious, Paranoid,Citrus, Pine,None,3,8,2,16.19771,0.21,77.13,0.01,Flower Lot,1,269,139,69,1,0.884058,0.115942,0,0.884058
1065,Sour Tangie,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Uplifted, Euphoric, Relaxed, Energetic, Dry Mouth, Anxious,None,Citrus, Orange,None,4,7,2,17.25867,0.18,95.88,0.01,Flower Lot,1,123,59,181,1,0.9889503,0.0110497,0,0.9889503
1074,Timewreck,Hybrid,Depression, Pain, Stress, Lack of Appetite,None,Energetic, Uplifted, Talkative, Euphoric, Happy, Anxious, Dry Mouth,None,Lemon, Lime,None,4,7,2,18.92315,0.24,78.85,0.01,Flower Lot,1,395,141,406,1,0.9458128,0.0492611,0.0049261,0.9458128
1089,Ogre,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Uplifted,Aroused,None,None,None,None,None,None,0,5,0,23.13832,0.14,165.27,0.01,Flower Lot,1,246,135,215,1,0.9906977,0.0093023,0,0.9906977
1090,Black Magic,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Pungent,Earthy,Pine,0,0,3,16.07011,0.087,184.71,0.01,Flower Lot,1,1147,143,61,1,1,0,0,1
1112,O.G. Kush,Sativa,None,None,None,None,None,None,None,None,None,None,None,None,None,Butter,Citrus,Cheese,0,0,3,10.83176,0.13,83.32,0.01,Flower Lot,1,5,6,1948,1,0.9922998,0.0077002,0,0.9922998
1113,Purple Elephant,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Paranoid, Anxious,Sweet, Earthy, Grape,5,8,3,14.15736,0.18,78.65,0.01,Flower Lot,1,468,141,104,1,1,0,0,1
1115,The HOG,Hybrid,Stress, Depression, Insomnia, Nausea,None,Sleepy, Euphoric, Relaxed, Happy, Tingly, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,4,8,2,11.77641,0.01,1177.64,0,Flower Lot,1,610,147,408,1,1,0,0,1
1175,Blueberry,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Blueberry, Sweet, Berry,5,8,3,18.09259,0.273,66.27,0.02,Flower Lot,1,22,20,2291,1,0.9886512,0.0113488,0,0.9886512
1177,Sugar Plum,Hybrid,Pain, Stress, Inflammation, Lack of Appetite, Nausea,Euphoric, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid,None,Sweet, Berry,None,5,7,2,10.77042,0.136,79.19,0.01,Flower Lot,1,1017,141,270,1,0.9925926,0.0074074,0,0.9925926
1178,Cherry Pie,Indica,None,None,None,None,None,None,None,None,None,None,None,None,None,Pungent,Earthy,Sweet,0,0,3,13.72544,0.065,211.16,0,Flower Lot,1,30,27,1476,1,0.9952574,0.0033875,0.001355,0.9952574
