test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,thc_max,cbd_max,inventory_type,chemotype,strain_category,strain_leafly_page_rank,strain_leafly_review_rank,strain_tests,strain_chemotype,strain_prop_chemotype1,strain_prop_chemotype2,strain_prop_chemotype3,strain_modal_chemo_prop
62,Harlequin,Hybrid,Stress, Pain, Depression, Inflammation,,Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious,,Earthy, Sweet,,6.9406,0,Flower Lot,1,Sativa,32,40,1205,2,0.3585062,0.586722,0.0547718,0.586722
64,Chocolope,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Coffee, Sweet,12.9395,0,Flower Lot,1,Sativa,85,42,682,1,1,0,0,1
72,Gremlin,Hybrid,,,,,,Euphoric,Relaxed,Uplifted,Aroused,Sleepy,,,,,,,16.20232,0.11,Flower Lot,1,,,,,,,,,
74,Jack Herer,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,17.19814,0.02,Flower Lot,1,Sativa,9,9,1489,1,0.9899261,0.0100739,0,0.9899261
82,AK-47,Hybrid,,,,,,Happy,Relaxed,Uplifted,Euphoric,Energetic,,,,,,,14.50805,0.01,Flower Lot,1,Hybrid,16,15,1646,1,0.9933171,0.0054678,0.0012151,0.9933171
83,Ace of Spades,Hybrid,Stress, Lack of Appetite, Pain, Depression, Insomnia,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Berry,,9.21006,0.01,Flower Lot,1,Indica,296,120,940,1,0.9787234,0.0148936,0.006383,0.9787234
86,G-13,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,,,,Chemical,Sage,Flowery,13.00715,0.01,Flower Lot,1,Indica,56,69,355,1,0.9915493,0.0084507,0,0.9915493
87,Permafrost,Hybrid,,,,,,Focused,Happy,Relaxed,Talkative,Euphoric,,,,,,,12.82555,0.01,Flower Lot,1,Hybrid,317,126,1076,1,0.9981413,0.0018587,0,0.9981413
89,Sour Diesel,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pungent,12.82555,0.01,Flower Lot,1,Sativa,3,2,2377,1,0.9907447,0.0088347,0.0004207,0.9907447
90,Casey Jones,Hybrid,Depression, Stress, Pain, Inflammation,,Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,,12.12518,0.01,Flower Lot,1,Sativa,213,114,19,1,1,0,0,1
91,Purple Urkel,Indica,,,,,,,,,,,,,,Sweet,Earthy,Tropical,16.11082,0.44,Flower Lot,1,Indica,64,43,737,1,0.9932157,0.0067843,0,0.9932157
93,Agent Orange,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Sage,Woody,13.01854,0.01,Flower Lot,1,Hybrid,74,52,784,1,0.994898,0.002551,0.002551,0.994898
96,Querkle,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Sweet, Earthy, Berry,15.63505,0.18,Flower Lot,1,Indica,315,138,244,1,1,0,0,1
100,Amnesia,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,16.47237,0.01,Flower Lot,1,Sativa,103,60,315,1,0.952381,0.047619,0,0.952381
101,Cinex,Hybrid,Depression, Stress, Pain,,,Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Earthy,,16.8122,0,Flower Lot,1,Sativa,119,71,4017,1,0.9972616,0.0024894,0.0002489,0.9972616
103,Godzilla,Hybrid,Pain, Inflammation, Stress, Insomnia, Depression,Euphoric, Relaxed, Sleepy, Creative, Happy, Dry Mouth,,,Earthy, Berry,,15.5475,0,Flower Lot,1,Indica,894,145,11,1,1,0,0,1
105,Blueberry Kush,Indica,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid,,Blueberry, Berry, Sweet,15.17099,0.01,Flower Lot,1,Indica,93,67,476,1,0.9852941,0.0147059,0,0.9852941
116,Pitbull,Indica,Pain, Stress, Depression, Nausea, Insomnia,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,13.69437,0.01,Flower Lot,1,Indica,607,134,760,1,0.9960526,0.0039474,0,0.9960526
130,Vortex,Hybrid,Stress, Depression, Pain,,,Uplifted, Euphoric, Relaxed, Happy, Energetic, Dry Mouth, Anxious,,Mango, Earthy, Lemon,11.50748,0.01,Flower Lot,1,Sativa,256,131,136,1,0.9705882,0.0294118,0,0.9705882
131,Tangerine Dream,Hybrid,,,,,,,,,,,,,,Flowery,Citrus,Pungent,17.43017,0.01,Flower Lot,1,Hybrid,86,57,564,1,0.9893617,0.0070922,0.0035461,0.9893617
132,Royal Queen,Hybrid,,,,,,,,,,,,,,Sweet,Pine,Woody,14.04233,0.01,Flower Lot,1,,,,,,,,,
137,Moby Dick,Hybrid,Stress, Depression, Pain,,,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,14.0548,0.52,Flower Lot,1,Sativa,101,62,50,1,1,0,0,1
139,Purple Pineapple,Hybrid,,,,,,,,,,,,,,Sweet,Earthy,Tropical,13.09678,0.01,Flower Lot,1,,,,,,,,,
158,Blue Magoo,Hybrid,,,,,,,,,,,,,,Tree,Fruit,Sweet,14.88314,0.01,Flower Lot,1,Hybrid,295,113,666,1,1,0,0,1
159,Critical Mass,Hybrid,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,4.24105,7.87,Flower Lot,2,Indica,70,69,568,1,0.5633803,0.4366197,0,0.5633803
160,Grape Krush,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pine,6.13756,7.27,Flower Lot,2,Indica,1304,145,12,2,0.3333333,0.6666667,0,0.6666667
163,Train Wreck,Hybrid,,,,,,,,,,,,,,Earthy,Berry,Blueberry,16.432,0.01,Flower Lot,1,Hybrid,14,18,871,1,1,0,0,1
171,Trainwreck,Hybrid,,,,,,Happy,Euphoric,Relaxed,Uplifted,Creative,,,,Woody,Earthy,Citrus,14.2243,0.22,Flower Lot,1,Hybrid,14,18,871,1,1,0,0,1
173,Afgooey,Indica,Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,,Earthy, Pine,,18.6693,0.13,Flower Lot,1,Indica,416,129,561,1,0.9946524,0.0053476,0,0.9946524
177,Bubba Kush,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,12.55218,0.01,Flower Lot,1,Indica,10,13,1316,1,0.9901216,0.0098784,0,0.9901216
182,Lavender,Indica,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Lavender, Sweet,,16.01323,0.01,Flower Lot,1,Indica,151,76,884,1,0.9977376,0.0022624,0,0.9977376
206,Alice in Wonderland,Hybrid,Lack of Appetite, Stress, Depression, Muscle Spasms,,Relaxed, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious,,Pine, Earthy, Sweet,11.49111,0.19,Flower Lot,1,Sativa,535,141,177,1,0.9491525,0.039548,0.0112994,0.9491525
208,Strawberry Cough,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Strawberry, Sweet, Berry,11.73576,0.11,Flower Lot,1,Sativa,28,16,1093,1,0.9990851,0.0009149,0,0.9990851
214,Dynamite,Hybrid,Stress, Pain, Inflammation, Depression,,Euphoric, Tingly, Talkative, Creative, Horny, Dry Mouth, Anxious,,Earthy, Citrus,,10.81828,0.05,Flower Lot,1,Indica,874,144,134,1,1,0,0,1
216,Headband,Hybrid,,,,,,Happy,Relaxed,Uplifted,Euphoric,Creative,,,,,,,11.48095,0.11,Flower Lot,1,Hybrid,27,21,1514,1,0.997358,0.001321,0.001321,0.997358
226,Durban Poison,Sativa,Depression, Stress, Pain, Nausea,,Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Sweet, Pine,13.3673,0.16,Flower Lot,1,Sativa,13,12,1413,1,0.9738146,0.0233546,0.0028309,0.9738146
230,Skunk #1,Hybrid,,,,,,,,,,,,,,Berry,Lavender,Earthy,9.99144,0.11,Flower Lot,1,Hybrid,58,113,742,1,0.9824798,0.0175202,0,0.9824798
234,Candy Skunk,Hybrid,,,,,,,,,,,,,,Tropical,Sweet,Tree,10.7132,0.12,Flower Lot,1,,,,,,,,,
243,Blue God,Hybrid,Pain, Insomnia, Stress, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Hungry, Happy, Dry Mouth, Paranoid,,Berry, Blueberry, Sweet,12.34565,0.09,Flower Lot,1,Indica,426,131,53,1,0.8490566,0.1320755,0.0188679,0.8490566
244,Space Queen,Hybrid,,,,,,,,,,,,,,Tropical,Sweet,Tree,7.75926,0.04,Flower Lot,1,Hybrid,115,79,520,1,1,0,0,1
274,Night Train,Hybrid,Insomnia, Pain, Stress, Lack of Appetite,,Relaxed, Sleepy, Tingly, Euphoric, Uplifted,,,,Pepper,,,7.12381,0.09,Flower Lot,1,Indica,1534,151,36,1,1,0,0,1
64257,Treasure Island,Hybrid,,,,,,,,,,,,,,Tropical,Pungent,Earthy,16.72457,39.11,Hydrocarbon Wax,2,Hybrid,1107,148,24,2,0,0.75,0.25,0.75
276,Blackberry Kush,Hybrid,Stress, Pain, Insomnia, Depression, Nausea,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Earthy,12.18806,0.21,Flower Lot,1,Indica,46,36,1519,1,0.9953917,0.00395,0.0006583,0.9953917
285,Big Bud,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid,,Earthy,,,10.1693,0.07,Flower Lot,1,Indica,132,119,142,1,1,0,0,1
286,Blue Cheese,Hybrid,Stress, Insomnia, Pain, Depression,,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Blueberry,,,9.61032,0.06,Flower Lot,1,Indica,23,19,436,1,0.9862385,0.0045872,0.0091743,0.9862385
294,OG Kush,Hybrid,,,,,,,,,,,,,,Earthy,Skunk,Flowery,12.84859,0.09,Flower Lot,1,Hybrid,5,6,1948,1,0.9922998,0.0077002,0,0.9922998
296,Shining Silver Haze,Hybrid,Stress,,,,,Talkative, Happy, Focused, Uplifted, Energetic,,,,,,,3.49581,6.45,Flower Lot,2,Sativa,1243,149,41,1,0.9756098,0.0243902,0,0.9756098
308,Sage,Hybrid,,,,,,Happy,Euphoric,Relaxed,Uplifted,Energetic,,,,,,,11.50892,0.08,Flower Lot,1,Hybrid,393,134,272,1,0.9926471,0,0.0073529,0.9926471
317,Purple Jolly Rancher,Hybrid,Insomnia, Pain, Nausea, Depression,,Relaxed, Euphoric, Sleepy, Happy, Uplifted, Dry Mouth, Anxious,,Citrus,,,15.77499,0.05,Flower Lot,1,Indica,1332,147,222,1,0.9864865,0.009009,0.0045045,0.9864865
347,Chocolate Thai,Hybrid,Stress, Depression, Pain, Insomnia, Nausea,Relaxed, Uplifted, Happy, Focused, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Coffee,,12.2979,0.02,Flower Lot,1,Sativa,290,141,66,1,1,0,0,1
352,Obama Kush,Hybrid,Pain, Stress, Depression, Nausea, Muscle Spasms,Relaxed, Uplifted, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,7.91846,0.42,Flower Lot,1,Indica,126,65,382,1,0.973822,0.026178,0,0.973822
358,Purple Kush,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Earthy, Berry, Grape,11.68298,0.03,Flower Lot,1,Indica,21,24,852,1,0.9953052,0.0023474,0.0023474,0.9953052
360,Schrom,Hybrid,Stress, Depression, Lack of Appetite, Muscle Spasms,,Happy, Relaxed, Uplifted, Energetic, Creative, Dry Mouth,,,Lemon, Citrus, Pine,7.26199,0.01,Flower Lot,1,,,,,,,,,
471,Chemdawg,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Creative,,,,,,,11.44908,0.04,Flower Lot,1,Hybrid,18,23,852,1,0.9988263,0.0011737,0,0.9988263
474,UW,Indica,Insomnia, Stress, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Berry,,19.3532,0.17,Flower Lot,1,Indica,675,136,585,1,0.9760684,0.0239316,0,0.9760684
495,Warlock,Hybrid,,,,,,Relaxed,Hungry,Happy,Euphoric,Uplifted,,,,Earthy,Sweet,Woody,11.57913,0.04,Flower Lot,1,Hybrid,601,142,41,1,1,0,0,1
605,God Bud,Hybrid,Stress, Pain, Depression, Inflammation, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,18.25123,0.01,Flower Lot,1,Indica,137,90,607,1,0.9967051,0.0032949,0,0.9967051
637,Grape God,Hybrid,,,,,,,,,,,,,,Lavender,Tobacco,Earthy,7.16996,0.01,Flower Lot,1,Hybrid,234,86,129,1,1,0,0,1
652,Blue Hawaiian,Hybrid,,,,,,,,,,,,,,Earthy,Woody,Pine,15.13804,0.04,Flower Lot,1,Hybrid,453,116,620,1,1,0,0,1
673,Seattle Cough,Hybrid,Depression, Stress, Inflammation, Nausea,,Happy, Creative, Uplifted, Relaxed, Talkative, Dry Mouth, Paranoid,,Pine, Citrus,,16.48874,0.03,Flower Lot,1,Sativa,1273,146,181,1,1,0,0,1
707,Freezeland,Indica,Stress, Insomnia, Depression, Lack of Appetite,,Happy, Euphoric, Relaxed, Sleepy, Dry Mouth, Paranoid,,,Pine, Earthy,,13.21651,0.04,Flower Lot,1,Indica,1101,146,7,1,1,0,0,1
730,Black Cherry OG,Indica,Insomnia, Pain, Stress, Depression,,Relaxed, Uplifted, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid,Berry, Sweet, Earthy,19.74197,0.08,Flower Lot,1,Indica,555,141,246,1,0.9918699,0.0081301,0,0.9918699
747,Romulan,Hybrid,Stress, Pain, Insomnia, Muscle Spasms,,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,15.05649,0.03,Flower Lot,1,Indica,121,80,642,1,0.9875389,0.0124611,0,0.9875389
786,Ice,Hybrid,,,,,,Euphoric,Uplifted,Relaxed,Happy,Tingly,,,,,,,14.82863,0.04,Flower Lot,1,Hybrid,230,134,116,1,0.9655172,0.0344828,0,0.9655172
803,Dirty Girl,Hybrid,Depression, Stress, Pain, Insomnia,,Happy, Uplifted, Euphoric, Creative, Energetic, Dry Mouth, Paranoid, Anxious,Sweet, Pine,,16.54365,0.04,Flower Lot,1,Sativa,433,132,1838,1,0.9929271,0.0043526,0.0027203,0.9929271
814,B-52,Hybrid,Stress, Insomnia, Lack of Appetite, Depression,,Relaxed, Uplifted, Focused, Euphoric, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,18.48203,0.28,Flower Lot,1,Indica,996,146,122,1,1,0,0,1
843,Plushberry,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious,,Berry, Sweet,,16.92814,0.75,Flower Lot,1,Indica,311,124,1036,1,0.988417,0.011583,0,0.988417
844,Mickey Kush,Sativa,Depression, Stress, Pain, Lack of Appetite,,Happy, Uplifted, Energetic, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Earthy, Sweet, Pine,13.90361,0.04,Flower Lot,1,Sativa,957,138,133,1,0.9924812,0.0075188,0,0.9924812
933,Double Purple,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pine,10.53676,0.03,Flower Lot,1,Indica,1115,151,52,1,1,0,0,1
944,Master Kush,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,,,14.95159,0.099,Flower Lot,1,Indica,31,33,467,1,0.9914347,0.0085653,0,0.9914347
945,New York Diesel,Sativa,,,,,,,,,,,,,,Citrus,Spicy/Herbal,Sweet,14.49506,0.099,Flower Lot,1,,,,,,,,,
950,Shiva Skunk,Hybrid,Pain, Stress, Insomnia, Lack of Appetite,,Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Skunk, Sweet, Earthy,14.91695,0.223,Flower Lot,1,Indica,318,145,55,1,1,0,0,1
951,Super Lemon Haze,Hybrid,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Sweet,12.47531,0.128,Flower Lot,1,Sativa,29,22,2696,1,0.9873887,0.0055638,0.0070475,0.9873887
977,Godberry,Indica,Insomnia, Pain, Stress, Muscle Spasms, Depression,Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid,,,Berry, Blueberry, Sweet,14.032,0,Flower Lot,1,Indica,910,146,29,1,1,0,0,1
1008,Quantum Kush,Hybrid,Depression, Stress, Lack of Appetite, Pain,,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,,15.36638,0.18,Flower Lot,1,Sativa,226,98,136,1,1,0,0,1
1018,Maui,Hybrid,Depression, Stress, Lack of Appetite,,,Talkative, Energetic, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,,Citrus, Sweet,,17.53721,0.109,Flower Lot,1,Sativa,479,146,171,1,1,0,0,1
1041,Orange Kush,Hybrid,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Uplifted, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,Citrus, Orange, Sweet,21.07542,0.139,Flower Lot,1,Indica,112,77,1250,1,0.9904,0.0096,0,0.9904
1053,Panama Red,Hybrid,Depression, Stress, Pain,,,Happy, Uplifted, Energetic, Focused, Horny, Dry Mouth, Anxious, Paranoid,Citrus, Pine,,16.19771,0.21,Flower Lot,1,Sativa,269,139,69,1,0.884058,0.115942,0,0.884058
1065,Sour Tangie,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Relaxed, Energetic, Dry Mouth, Anxious,,Citrus, Orange,,17.25867,0.18,Flower Lot,1,Sativa,123,59,181,1,0.9889503,0.0110497,0,0.9889503
1074,Timewreck,Hybrid,Depression, Pain, Stress, Lack of Appetite,,Energetic, Uplifted, Talkative, Euphoric, Happy, Anxious, Dry Mouth,,Lemon, Lime,,18.92315,0.24,Flower Lot,1,Sativa,395,141,406,1,0.9458128,0.0492611,0.0049261,0.9458128
1089,Ogre,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Aroused,,,,,,,23.13832,0.14,Flower Lot,1,Hybrid,246,135,215,1,0.9906977,0.0093023,0,0.9906977
1090,Black Magic,Hybrid,,,,,,,,,,,,,,Pungent,Earthy,Pine,16.07011,0.087,Flower Lot,1,Indica,1147,143,61,1,1,0,0,1
1112,O.G. Kush,Sativa,,,,,,,,,,,,,,Butter,Citrus,Cheese,10.83176,0.13,Flower Lot,1,Hybrid,5,6,1948,1,0.9922998,0.0077002,0,0.9922998
1113,Purple Elephant,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Paranoid, Anxious,Sweet, Earthy, Grape,14.15736,0.18,Flower Lot,1,Indica,468,141,104,1,1,0,0,1
1115,The HOG,Hybrid,Stress, Depression, Insomnia, Nausea,,Sleepy, Euphoric, Relaxed, Happy, Tingly, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,11.77641,0.01,Flower Lot,1,Indica,610,147,408,1,1,0,0,1
1175,Blueberry,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Blueberry, Sweet, Berry,18.09259,0.273,Flower Lot,1,Indica,22,20,2291,1,0.9886512,0.0113488,0,0.9886512
1177,Sugar Plum,Hybrid,Pain, Stress, Inflammation, Lack of Appetite, Nausea,Euphoric, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid,,Sweet, Berry,,10.77042,0.136,Flower Lot,1,Sativa,1017,141,270,1,0.9925926,0.0074074,0,0.9925926
1178,Cherry Pie,Indica,,,,,,,,,,,,,,Pungent,Earthy,Sweet,13.72544,0.065,Flower Lot,1,Hybrid,30,27,1476,1,0.9952574,0.0033875,0.001355,0.9952574
1184,Cream Caramel,Hybrid,Stress, Insomnia, Depression, Pain,,Relaxed, Happy, Sleepy, Euphoric, Focused, Dry Mouth, Anxious,,Sweet, Honey, Earthy,20.81446,0.184,Flower Lot,1,Indica,355,143,11,1,1,0,0,1
1192,LA Woman,Hybrid,,,,,,,,,,,,,,Earthy,Berry,Grape,16.10552,0.197,Flower Lot,1,Hybrid,802,148,70,1,1,0,0,1
1217,Remedy,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Sleepy, Happy, Uplifted, Focused, Dry Mouth,,,Earthy, Citrus,,0.307073,9.36,Flower Lot,3,Indica,354,132,314,2,0.089172,0.5127389,0.3980892,0.5127389
1243,Elephant,Sativa,,,,,,Happy, Creative, Focused, Relaxed, Euphoric,,,,Sweet, Earthy,,15.14269,0.25,Flower Lot,1,Sativa,787,136,518,1,0.9826255,0.0135135,0.003861,0.9826255
1259,Blue OG,Hybrid,,,,,,,,,,,,,,Apricot,Earthy,Spicy/Herbal,19.294,0,Flower Lot,1,Hybrid,297,139,187,1,1,0,0,1
1271,Chernobyl,Hybrid,,,,,,Happy,Euphoric,Relaxed,Energetic,Uplifted,,,,,,,22.355,0.32,Flower Lot,1,Hybrid,118,73,862,1,0.9930394,0,0.0069606,0.9930394
1276,Kosher Kush,Hybrid,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,,,15.42574,0,Flower Lot,1,Indica,76,56,310,1,0.9870968,0.0129032,0,0.9870968
1332,Kali Mist,Hybrid,Stress, Pain, Depression, Lack of Appetite, Muscle Spasms,Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy, Sweet, Citrus,15.8027,0.164,Flower Lot,1,Sativa,227,117,46,1,1,0,0,1
1333,Super Skunk,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Sleepy, Hungry, Euphoric, Dry Mouth, Paranoid, Anxious,Skunk, Earthy, Sweet,12.43757,0.136,Flower Lot,1,Indica,100,103,137,1,0.9854015,0.0145985,0,0.9854015
1369,Caramelicious,Hybrid,,,,,,Focused,Happy,Relaxed,Euphoric,Creative,,,,,,,15.1767,0,Flower Lot,1,Hybrid,815,146,15,1,1,0,0,1
1449,AK-48,Hybrid,,,,,,Happy,Energetic,Uplifted,Creative,Relaxed,,,,,,,16.3122,0,Flower Lot,1,Hybrid,270,138,56,1,1,0,0,1
1453,MK Ultra,Hybrid,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,18.39769,0.106,Flower Lot,1,Indica,97,72,303,1,1,0,0,1
