test_strain,type,ailment_1,effects_1,flavor_1,thc_max,cbd_max,chemotype,strain_leafly_review_rank,strain_leafly_page_rank
Red Congolese,Hybrid,Stress,Energetic,Earthy,22.748,0,1,126,304
1024,Hybrid,Stress,Uplifted,Pine,11.9587,0.42096,1,143,398
Confidential Cheese,Hybrid,Stress,Sleepy,Pine,30.53,0.08,1,140,615
Golden Tangie,Sativa,None,Horny,None,21.48832,0,1,0,0
IG Kush,Hybrid,None,None,Earthy,20.73,0.73,1,147,1022
El Jefe,Hybrid,Depression,Relaxed,Earthy,28.5223,0,1,149,969
Grape Cookies,Hybrid,Stress,Relaxed,Grape,26.6346,0,1,145,1076
The Cough,Sativa,Stress,Uplifted,Pine,24.8052,0,1,149,1263
Misty Kush,Indica,Muscle Spasms,Happy,Sweet,17.7161,0.67529,1,149,1102
Lemon Cake,Hybrid,Stress,Happy,Lemon,25.7822,0,1,0,0
Diamond OG,Hybrid,Stress,Relaxed,Earthy,30.3303,0,1,107,145
13,Hybrid,None,None,Honey,21.3972,0,1,0,0
Belladonna,Hybrid,None,Happy,None,12.31,0.06,1,152,1173
White Haze,Hybrid,Stress,Focused,Lemon,21.07,0.05,1,151,988
Voodoo,Hybrid,Pain,Relaxed,Citrus,15.0828,0.4385,1,145,558
Killing Fields,Sativa,Depression,Energetic,Lemon,15.9721,0,1,151,1248
Rainbow Jones,Indica,Depression,Relaxed,Earthy,25.9945,0,1,147,1011
Crimson Crush,Hybrid,None,None,Flowery,21.87,0.09,1,0,0
Iced Widow,Indica,Lack of Appetite,Relaxed,Earthy,15.1812,0,1,136,589
Eran Almog,Hybrid,Stress,Relaxed,Earthy,74.26,1.86,1,143,1265
Chocolate Diesel,Hybrid,Stress,Euphoric,Pine,24.4159,0,1,144,271
Alien Bubba,Hybrid,Stress,Relaxed,Earthy,20.95,0.41,1,150,814
Kobain Kush,Hybrid,Pain,Relaxed,Earthy,73.8675,0,1,151,1363
Salmon River OG,Hybrid,Stress,Relaxed,Earthy,18.54855,0,1,149,986
Grape Valley Kush,Hybrid,Lack of Appetite,Relaxed,Pineapple,15.22284,0.131673,1,150,1174
A-Dub,Hybrid,None,Relaxed,Pungent,72.4274,0.2631,1,143,710
Cherry Kola,Hybrid,Stress,Euphoric,Berry,85.01,0.25,1,142,800
Rare Darkness,Hybrid,Insomnia,Relaxed,Grape,23.3277,0,1,126,525
Blue Buddha,Indica,Depression,Happy,None,18.0523,0.2877,1,148,1210
Candy Jack,Hybrid,Stress,Happy,Sweet,61.23,0.25,1,123,286
Ultra Sour,Hybrid,Depression,Uplifted,Lemon,17.93513,0.129919,1,149,1148
Thai Haze,Hybrid,Depression,Creative,Pine,24.82306,0.12278,1,150,1169
Clifford,Hybrid,None,None,Earthy,18.68364,0.01754,1,0,0
White Afghani,Hybrid,None,None,Tropical,21.44319,0.07893,1,0,0
Gooberry,Hybrid,Pain,Euphoric,Berry,80.5605,0,1,143,738
Doctor Doctor,Sativa,Inflammation,Relaxed,Sweet,1.4262,13.0673,3,148,1109
Terminator OG,Indica,Stress,Relaxed,Sweet,10.99285,0.083438,1,149,1466
Pinot Noir,Hybrid,None,None,Citrus,13.2152,0.082561,1,0,0
Bluniverse,Hybrid,None,Euphoric,Berry,16.64134,0.119395,1,150,1474
