test_strain,type,ailment_1,effects_1,flavor_1,thc_max,cbd_max,chemotype,strain_leafly_review_rank,strain_leafly_page_rank
THC Bomb,Hybrid,None,None,Earthy,13.45884,0.082,1,116,183
Aurora Indica,Hybrid,Stress,Relaxed,Pine,17.7154,0,1,138,396
Chronic,Hybrid,None,Relaxed,None,13.48602,0.15,1,133,171
Fruit Punch,Hybrid,Depression,Happy,Sweet,12.5411,0,1,123,349
Pot of Gold,Hybrid,Insomnia,Relaxed,Sweet,19.72214,0.31,1,136,361
Granddaddy Purple,Indica,Stress,Relaxed,Berry,14.37372,0.069,1,7,7
Burmese,Hybrid,None,None,Earthy,13.78687,0,1,135,378
Buffalo Bill,Sativa,Depression,Euphoric,Pine,19.1,0.2,1,148,1621
Alaskan Thunder Fuck,Sativa,Stress,Happy,Earthy,14.15644,0,1,39,33
Deadwood,Indica,Stress,Relaxed,Berry,13.52564,0,1,146,1631
Green Crack,Hybrid,Stress,Energetic,Citrus,23.03949,0.13,1,4,6
Blackberry Trainwreck,Hybrid,None,None,Earthy,13.7558,0,1,151,1445
Skywalker,Hybrid,Stress,Relaxed,Earthy,20.8787,0.19,1,67,43
Blue Mystic,Hybrid,Stress,Relaxed,Blueberry,7.00583,0,1,142,376
Berry White,Hybrid,Stress,Relaxed,Berry,3.083684,0.001,1,49,102
Purple Diesel,Hybrid,None,None,Grape,8.23027,0.086,1,115,192
Blue City Diesel,Hybrid,None,None,Lime,17.6646,0.2,1,99,128
Straight Jacket,Hybrid,None,None,Citrus,23.6363,0.23,1,0,0
Cinderella 99,Sativa,None,None,Earthy,11.14455,0.05,1,82,69
Royal Haze,Hybrid,Depression,Uplifted,Skunk,16.13724,0.224,1,150,925
Strawberry Kush,Hybrid,None,None,Sweet,19.1797,0.27,1,111,150
Jack Frost,Hybrid,None,None,Earthy,16.21862,0.34,1,98,142
X Factor,Hybrid,None,None,Sweet,19.4063,0.4,1,0,0
Papaya,Hybrid,Stress,Relaxed,Sweet,19.65047,0.2,1,136,432
Acapulco Gold,Sativa,Depression,Happy,Earthy,16.13337,0.283,1,84,108
LSD,Hybrid,None,Happy,Citrus,15.9,0.3,1,47,51
Oregon Diesel,Hybrid,Depression,Relaxed,Earthy,13.52147,0.78,1,136,665
Critical Kush,Indica,Depression,Relaxed,Earthy,16.60826,0.159,1,51,68
Vanilla Kush,Indica,Stress,Relaxed,Vanilla,21.39759,0.185,1,87,179
White Rhino,Hybrid,Stress,Relaxed,Earthy,15.70154,0.094,1,67,54
White Lavender,Hybrid,None,None,Strawberry,15.90138,0.079,1,143,963
Thai,Sativa,Stress,Happy,Earthy,17.81722,0.199,1,137,147
Bubblicious,Hybrid,None,Happy,Sweet,13.94938,0.079,1,142,517
Shark Attack,Hybrid,Pain,Happy,Earthy,17.16335,0.139,1,151,1618
Blackberry,Hybrid,None,Relaxed,None,9.66561,0.07,1,101,156
Purple Haze,Hybrid,Depression,Euphoric,Earthy,10.73201,0.135,1,49,36
Everlast,Indica,Stress,Relaxed,Earthy,24.74766,0.35,1,0,0
Northern Lights x Blueberry,Hybrid,None,None,Earthy,15.3844,0.7,1,0,0
Alien Dawg,Indica,Stress,Relaxed,Earthy,11.32856,0.156,1,128,293
Blood Wreck,Hybrid,None,None,Sweet,9.6,0.2,1,0,0
Flo,Hybrid,None,Happy,None,13.6,0.4,1,83,148
Maui Wowie,Sativa,Stress,Happy,Sweet,6.9,0,1,49,60
Sensi Star,Hybrid,Stress,Relaxed,Earthy,13.39741,0.76,1,94,139
Blueberry Skunk,Hybrid,Stress,Euphoric,Blueberry,6.967445,0.017,1,147,672
Snow Leopard,Hybrid,Stress,Euphoric,Earthy,18.70933,0.201,1,142,1149
Cheese,Hybrid,None,Relaxed,None,16.0014,0.05,1,39,34
Hindu Kush,Hybrid,Stress,Relaxed,Earthy,13.06919,0,1,55,59
Dutch Dream,Hybrid,None,None,Lavender,19.1,0.2,1,55,104
Deep Purple,Hybrid,Stress,Relaxed,Grape,20.07429,0.01,1,147,600
Rosetta Stone,Hybrid,None,None,Citrus,16.286,0.7,1,0,0
Skunk,Hybrid,None,None,Spicy/Herbal,22.42349,0.01,1,113,58
Pez,Indica,Pain,Euphoric,Sweet,7.492102,0,1,151,1213
Phantom Cookies,Hybrid,None,None,Earthy,19.84341,0.17,1,109,309
Purple Urkle,Hybrid,Pain,Relaxed,Sweet,13.30398,0,1,43,64
Death Star,Hybrid,Stress,Relaxed,Earthy,20,0.3,1,41,55
Cheeseburger,Hybrid,None,Tingly,None,17.67935,0,1,150,1536
Chocolate Chunk,Hybrid,Insomnia,Relaxed,Earthy,10.37897,0.105,1,141,472
Cherry Kush,Organi,None,None,Lemon,14.05582,0.173,1,128,241
Amnesia Haze,Hybrid,Stress,Happy,Citrus,15.70653,0.18,1,30,26
Green Love Potion,Hybrid,Pain,Relaxed,Pine,10.68508,0.09,1,150,1002
Enigma,Hybrid,Insomnia,Relaxed,Citrus,4.4,10,2,149,1577
Super Blue Dream,Hybrid,None,None,Citrus,19,0.2,1,134,360
XXX OG,Indica,Stress,Sleepy,Earthy,10.5609,0.4,1,127,127
Omega,Hybrid,None,Euphoric,Tropical,12.9166,0.151,1,150,1514
CBD Critical Mass,Hybrid,Pain,Relaxed,Earthy,3.423396,7.627,2,69,70
Bay 11,Hybrid,Depression,Happy,Sweet,16.7507,0,1,134,454
Critical Sensi Star,Hybrid,Stress,Relaxed,Citrus,10.62154,0.237,1,144,836
Supergirl,Hybrid,Stress,Happy,Earthy,22.3004,1.3,1,146,1491
Strawberry,Sativa,Stress,Happy,Strawberry,15.986,0.2,1,127,244
Moonshine Haze,Sativa,Stress,Uplifted,Earthy,15.29426,0.161,1,134,410
God,Hybrid,None,None,Sweet,16.6839,0.278,1,0,0
Chem Valley Kush,Hybrid,None,None,Earthy,19.92971,0,1,146,735
LA Confidential,Hybrid,Stress,Relaxed,Earthy,14.01456,0.462,1,58,65
Dance World,Hybrid,Stress,Relaxed,Citrus,8.427882,14.223,2,150,630
Jack Cheddar,Hybrid,None,None,Menthol,20.83582,0.864,1,0,0
Cotton Candy,Hybrid,None,None,Citrus,13.8058,0.4,1,63,94
Purple Mr. Nice,Indica,Insomnia,Relaxed,Earthy,18.7924,0.1,1,143,549
Big Bang,Hybrid,Pain,Relaxed,Earthy,11.54476,1.531,1,148,812
Island Sweet Skunk,Sativa,Stress,Happy,Sweet,13.8,0.2,1,65,114
Hash Plant,Indica,Stress,Relaxed,Earthy,17.9,0.2,1,102,140
Lemon Haze,Hybrid,Stress,Happy,Lemon,15.46502,0.131,1,14,17
Abusive OG,Hybrid,Stress,Relaxed,Earthy,17.4,0.2,1,140,419
Raspberry Kush,Hybrid,Stress,Relaxed,Berry,14.67525,0.192,1,118,231
Critical Hog,Hybrid,Stress,Relaxed,Earthy,10.44974,0.261,1,143,883
Double Bubble,Hybrid,None,None,Pineapple,9.947473,0.083,1,0,0
Pink Champagne,Indica,Stress,Relaxed,Berry,17.9,0.3,1,136,359
Red Headed Stranger,Sativa,Depression,Focused,Citrus,17.2,0.2,1,121,415
CheeseWreck,Hybrid,None,Happy,Sweet,24.0298,0,1,145,981
Sugar Black Rose,Hybrid,Stress,Relaxed,Sweet,18.87301,0.07,1,122,263
Jock Horror,Hybrid,Depression,Euphoric,Sweet,15.95218,0.076,1,148,730
Brainwreck,Hybrid,None,Creative,Earthy,18.4,0.2,1,143,711
Galactic Jack,Hybrid,Depression,Energetic,Citrus,22.19281,0,1,136,508
Marionberry Kush,Hybrid,None,None,Earthy,20.85287,0,1,133,439
Pennywise,Hybrid,Stress,Relaxed,Earthy,9.55786,11.83,2,104,172
WSU,Indica,Pain,Relaxed,Pine,6.539448,0,1,150,1810
American Kush,Hybrid,Pain,Relaxed,Sweet,8.841914,0,1,0,0
Cali Orange,Hybrid,None,None,Woody,11.47993,0,1,151,1854
Pre-98 Bubba Kush,Indica,Pain,Relaxed,Earthy,8.522264,0,1,93,164
Sweet Tooth,Hybrid,Stress,Relaxed,Sweet,11.98333,0,1,116,144
Purple Afghani,Hybrid,Stress,Relaxed,Sweet,12.34883,0,1,141,401
DJ Short Blueberry,Indica,Stress,Relaxed,Blueberry,17.9154,0.1,1,127,319
Purple Wreck,Hybrid,Stress,Relaxed,Grape,6.8606,0.13,1,133,629
Chocolate Kush,Hybrid,Stress,Relaxed,Earthy,12.6111,0.27,1,135,201
Pure Kush,Indica,Pain,Relaxed,Earthy,9.5946,0.21,1,124,155
XJ-13,Hybrid,None,Happy,None,12.8026,0.6,1,64,110
Violator Kush,Indica,Depression,Relaxed,Earthy,18.96427,0.368,1,114,229
G13,Indica,Stress,Relaxed,Earthy,8.4315,0.34,1,69,56
Cannalope Haze,Hybrid,Depression,Happy,Sweet,17,0,1,126,299
Tangerine,Hybrid,None,Happy,None,21.877,0,1,128,291
Super Sour Diesel,Hybrid,Stress,Euphoric,Earthy,22.048,0,1,95,149
Blue Venom,Hybrid,None,None,Earthy,13.0296,0.34,1,143,823
Gigabud,Hybrid,Pain,Hungry,Sweet,39.22202,0.646,1,149,1021
Jamaican Dream,Hybrid,Stress,Happy,Earthy,16.18665,0.277,1,144,661
